hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
af9a2e,mode_s,0,E6,1,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],46573,0.0,-12.0
3ea3c3,mode_s,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],220617,1.5,-20.9
affffc,adsr_icao,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,unknown,1,0,[],[],4,39.9,-21.7
ae749f,mode_s,170480,P8,1,BOEING P-8 Poseidon,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],507605,0.2,-27.8
ae050a,mode_s,63-8018,K35R,1,BOEING KC-135R/T Stratotanker,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],9324303,0.7,-16.1
ae117d,mode_s,02-1111,C17,1,Boeing C-17A Globemaster III,34000,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,[],[],17240973,0.4,-29.0
ae2015,mode_s,12-72262,EC45,1,Airbus Helicopters UH-72A Lakota,4525,0,0,0,0,0,0,0,0,0,8,0,2,perhour,0,0,[],[],1109085,0.0,-28.4
3b9be3,mode_s,32,FA10,1,DASSAULT Falcon 100,34050,0,458.0,312.71,6425,0,0,0,0,0,0,0,0,0,0,0,[],[],3717263,0.2,-10.5
ae144d,mode_s,05-5143,C17,1,Boeing C-17A Globemaster III,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],13316312,1.0,-14.4
adf859,mode_s,0,0,1,0,ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],15,30.7,-18.4
ae0181,mode_s,84-0139,LJ35,1,Learjet C-21A,0,13400,0,0,0,0,0,0,0,0,10,0,2,perhour,0,0,[],[],13623518,36.0,-25.9
ae145e,mode_s,06-6160,C17,1,Boeing C-17A Globemaster III,ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],16888803,5.0,-34.4
3532c4,adsb_icao,T.23-06,A400,1,AIRBUS A-400M,0,19250,343.9,345.52,0,0,0,0,0,0,0,2,0,invalid,0,0,[],[],4004115,45.8,-19.7
ae11f6,mode_s,01-0041,B737,1,Boeing C-40B,37025,0,0,0,7763,0,0,0,0,0,0,0,0,0,0,0,[],[],17692868,0.0,-24.9
ae0561,mode_s,85-0004,C5M,1,Lockheed C-5M Super Galaxy,40000,0,0,0,6101,0,0,0,0,0,0,0,0,0,0,0,[],[],21223554,1.8,-26.8
c20575,adsr_icao,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],81,0.4,-24.0
ae595b,mode_s,13-5784,C30J,1,Lockheed Martin C-130J-30 Hercules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],5435105,47.3,-33.5
ae5eea,mode_s,162672,B06,1,BELL 206 JetRanger,1050,0,0,0,0,0,0,0,0,0,0,0,0,perhour,0,0,[],[],606048,1.0,-11.5
40002f,mode_s,0,0,1,0,-950,0,0,0,0,0,0,0,0,0,7,0,2,unknown,0,0,[],[],2,45.1,-49.5
